보호구역구분,보호구역명칭,소재지,위도,경도
경로당,도마2동경로당,도마2동,36.314988,127.372021
경로당,도림정경로당,도마2동,36.312884,127.372807
경로당,럭키아파트경로당,도마2동,36.316595,127.36908
경로당,복음로얄아파트경로당,도마2동,36.318678,127.370967
경로당,양지타운아파트경로당,도마2동,36.317726,127.36995
경로당,대아아파트경로당,도마2동,36.32515,127.369445
경로당,경남아파트1단지경로당,도마2동,36.320985,127.371004
경로당,경남아파트2단지경로당,도마2동,36.321714,127.368949
경로당,산적골경로당,도마2동,36.316982,127.375825
경로당,매화경로당,도마2동,36.318459,127.375513
경로당,제비네경로당,도마2동,36.314723,127.374652
경로당,대신경로당,도마2동,36.312079,127.37916
경로당,초원아파트경로당,만년동,36.368041,127.378203
경로당,상록수아파트경로당,만년동,36.365843,127.378366
경로당,강변아파트경로당,만년동,36.368615,127.375937
어린이집,강변어린이집,만년동,36.368615,127.375937
경로당,상아아파트경로당,만년동,36.369789,127.378134
초등학교,대전만년초등학교,만년동,36.367135,127.377286
경로당,만년경로당,만년동,36.365425,127.370903
어린이집,파란나라어린이집,만년동,36.365319,127.372943
어린이집,만년어린이집,만년동,36.366441,127.373915
어린이집,갑천어린이집,만년동,36.367487,127.375623
어린이집,고운맘어린이집,만년동,36.365843,127.378366
어린이집,꼬마랑어린이집,만년동,36.368075,127.376097
어린이집,다운어린이집,만년동,36.368329,127.378201
어린이집,별초롱어린이집,만년동,36.36785,127.376043
어린이집,아이사랑어린이집,만년동,36.368555,127.378233
어린이집,파란하늘어린이집,만년동,36.366799,127.378525
어린이집,푸른나무어린이집,만년동,36.368644,127.37811
어린이집,푸우어린이집,만년동,36.365997,127.378576
어린이집,해와달어린이집,만년동,36.366413,127.378829
어린이집,해피맘어린이집,만년동,36.368787,127.377886
초등학교,대전둔천초등학교,만년동,36.368452,127.373966
어린이집,고우나어린이집,만년동,36.369817,127.378379
어린이집,상아아이뜰어린이집,만년동,36.370061,127.378388
경로당,목운경로당,변동,36.331635,127.368724
어린이집,비비창의어린이집,변동,36.332021,127.368421
어린이집,킨더엔젤라어린이집,변동,36.329713,127.369865
경로당,변동경로당,변동,36.322808,127.383463
경로당,변정경로당,변동,36.323327,127.382713
경로당,변동갓골경로당,변동,36.327427,127.382703
경로당,중반경로당,변동,36.326889,127.386684
어린이집,대전아이사랑어린이집,변동,36.329482,127.375759
어린이집,비파어린이집,변동,36.325645,127.381325
초등학교,대전변동초등학교,변동,36.325001,127.385852
초등학교,대전서부초등학교,변동,36.333315,127.369413
어린이집,아이솔어린이집,변동,36.328232,127.377996
어린이집,지산어린이집,변동,36.330293,127.368936
어린이집,리틀포비어린이집,변동,36.326507,127.37899
경로당,변동막골경로당,변동,36.326729,127.376594
경로당,초록마을2단지경로당,복수동,36.30135,127.380248
경로당,초록마을3단지경로당,복수동,36.300022,127.379623
경로당,초록마을리슈빌아파트경로당,복수동,36.299976,127.381194
경로당,초록마을1단지경로당,복수동,36.303259,127.379809
경로당,벌말경로당,복수동,36.296691,127.378536
어린이집,나클래어린이집,복수동,36.302067,127.379373
어린이집,마루어린이집,복수동,36.29973,127.38065
어린이집,사랑꽃어린이집,복수동,36.30149,127.379411
어린이집,예뻐뽀어린이집,복수동,36.296271,127.37923
어린이집,자연마을어린이집,복수동,36.30135,127.380248
초등학교,대전신계초등학교,복수동,36.301934,127.378049
어린이집,리틀로뎀키즈어린이집,복수동,36.294402,127.378477
경로당,오량경로당,복수동,36.310908,127.3777
경로당,계룡아파트경로당,복수동,36.305265,127.373925
경로당,삼익목화아파트1단지경로당,복수동,36.30917,127.374406
경로당,삼익목화아파트2단지경로당,복수동,36.307611,127.374497
경로당,오량마을마루미아파트경로당,복수동,36.306589,127.377211
어린이집,행복한어린이집,복수동,36.309033,127.377581
경로당,초록마을5단지경로당,복수동,36.298087,127.373226
어린이집,키즈아일랜드어린이집,복수동,36.297417,127.375992
어린이집,아이꿈영재어린이집,복수동,36.298586,127.380681
어린이집,아이뜰어린이집,복수동,36.300409,127.377794
초등학교,대전복수초등학교,복수동,36.308111,127.376943
어린이집,소야어린이집,복수동,36.297993,127.380975
어린이집,숲속어린이집,복수동,36.30557,127.373711
어린이집,자이숲어린이집,복수동,36.306283,127.372225
어린이집,목화사랑어린이집,복수동,36.309125,127.374429
어린이집,브니엘어린이집,복수동,36.30935,127.374394
어린이집,행복가득어린이집,복수동,36.306597,127.376932
어린이집,미소어린이집,복수동,36.298087,127.373226
어린이집,늘햇살어린이집,복수동,36.2984,127.374448
경로당,한마음아파트경로당,용문동,36.33212,127.392724
어린이집,새싹어린이집,용문동,36.334469,127.393809
경로당,용문경로당,용문동,36.337987,127.394461
경로당,우정경로당,용문동,36.339775,127.398658
어린이집,용문어린이집,용문동,36.339008,127.391445
경로당,서부경로당,용문동,36.335366,127.393
경로당,서우아파트경로당,용문동,36.335529,127.394859
경로당,아이누리아파트경로당,용문동,36.335036,127.395442
어린이집,사과나무어린이집,용문동,36.337045,127.389957
어린이집,새봄어린이집,용문동,36.335528,127.392909
어린이집,키즈빌어린이집,용문동,36.333439,127.393327
어린이집,서우아이꿈어린이집,용문동,36.33524,127.394761
어린이집,연두아이누리어린이집,용문동,36.334855,127.395265
경로당,정림수밋들경로당,정림동,36.304044,127.366308
경로당,원정림경로당,정림동,36.289546,127.360024
경로당,선골경로당,정림동,36.276318,127.367256
경로당,삼정아파트경로당,정림동,36.298008,127.363306
경로당,우성아파트경로당,정림동,36.304448,127.364334
경로당,백목련아파트경로당,정림동,36.299925,127.364515
경로당,늘푸른아파트경로당,정림동,36.301374,127.365773
경로당,정림아파트경로당,정림동,36.305912,127.361627
경로당,강변들백조아파트경로당,정림동,36.300357,127.366082
경로당,공굴안경로당,정림동,36.31099,127.367432
경로당,강변들보람아파트경로당,정림동,36.301294,127.364404
경로당,강변경로당,정림동,36.306567,127.367924
경로당,명암경로당,정림동,36.311401,127.358364
경로당,한가람아파트경로당,탄방동,36.347867,127.391421
경로당,탄방제일경로당,탄방동,36.346078,127.397607
경로당,공작한양아파트경로당,탄방동,36.347915,127.393827
어린이집,등불어린이집,탄방동,36.344473,127.392038
어린이집,서비스탑도담어린이집,탄방동,36.347208,127.384107
초등학교,대전탄방초등학교,탄방동,36.345918,127.391024
어린이집,둔산큰별어린이집,탄방동,36.343718,127.394227
경로당,양촌경로당,탄방동,36.34275,127.381201
경로당,개나리아파트경로당,탄방동,36.345012,127.383032
경로당,한우리아파트경로당,탄방동,36.344967,127.388324
경로당,남산경로당,탄방동,36.344998,127.399687
경로당,리가아파트경로당,탄방동,36.34297,127.388975
경로당,산호아파트경로당,탄방동,36.34476,127.386465
어린이집,대전법원어린이집,탄방동,36.343452,127.387991
어린이집,예솔어린이집,탄방동,36.345441,127.382238
경로당,탄방경로당,탄방동,36.34342,127.392336
어린이집,미피어린이집,탄방동,36.347878,127.391833
어린이집,이레어린이집,탄방동,36.34815,127.393948
어린이집,푸른한양어린이집,탄방동,36.347924,127.393771
어린이집,풀잎어린이집,탄방동,36.348408,127.391472
어린이집,한빛어린이집,탄방동,36.347843,127.393794
어린이집,꿈이있는아이어린이집,탄방동,36.344471,127.388161
어린이집,맑은누리어린이집,탄방동,36.34467,127.388237
어린이집,샬롬어린이집,탄방동,36.344877,127.388269
어린이집,예인어린이집,탄방동,36.344661,127.383035
어린이집,큰사랑어린이집,탄방동,36.344967,127.388324
어린이집,하늘뜰어린이집,탄방동,36.34467,127.388237
어린이집,꿈이큰어린이집,탄방동,36.34476,127.386465
어린이집,새빛어린이집,탄방동,36.344111,127.386548
어린이집,아름드리어린이집,탄방동,36.343806,127.386729
경로당,크로바아파트경로당,둔산1동,36.352407,127.392689
경로당,삼성한마루아파트경로당,둔산1동,36.354639,127.392048
경로당,럭키한마루경로당,둔산1동,36.354639,127.392048
경로당,목련아파트경로당,둔산1동,36.350096,127.391994
경로당,햇님아파트경로당,둔산1동,36.356292,127.392804
경로당,수정타운아파트경로당,둔산2동,36.359036,127.397217
경로당,꿈나무아파트경로당,둔산2동,36.360234,127.391692
경로당,둥지아파트경로당,둔산2동,36.358793,127.391949
경로당,녹원아파트경로당,둔산2동,36.347695,127.380627
경로당,향촌아파트경로당,둔산2동,36.35414,127.375662
경로당,은하수아파트경로당,둔산2동,36.3495,127.379465
경로당,파랑새아파트경로당,둔산2동,36.356311,127.375444
경로당,샘머리아파트1단지경로당,둔산2동,36.363479,127.391868
경로당,샘머리아파트2단지경로당,둔산2동,36.361378,127.393355
경로당,은초롱아파트경로당,둔산2동,36.360002,127.393934
경로당,삼천경로당,둔산3동,36.350059,127.398913
경로당,보라아파트1단지경로당,둔산3동,36.352348,127.4007
경로당,보라아파트2단지경로당,둔산3동,36.352348,127.4007
경로당,가람아파트경로당,둔산3동,36.356553,127.398206
경로당,청솔아파트경로당,둔산3동,36.352365,127.398639
경로당,동성아파트경로당,둔산3동,36.354035,127.397401
경로당,국화라이프아파트경로당,둔산3동,36.354035,127.397401
경로당,국화우성아파트경로당,둔산3동,36.354035,127.397401
경로당,국화한신아파트경로당,둔산3동,36.354035,127.397401
경로당,국화신동아아파트경로당,둔산3동,36.354035,127.397401
경로당,갈마제2경로당,갈마1동,36.353939,127.368299
경로당,우리경로당,갈마1동,36.351204,127.372744
경로당,갈마제1경로당,갈마1동,36.348768,127.367104
경로당,갈마아파트경로당,갈마1동,36.343179,127.366749
경로당,갈마울경로당,갈마1동,36.351485,127.36452
경로당,인터빌아파트경로당,갈마1동,36.339883,127.367277
경로당,미소마을경로당,갈마1동,36.340416,127.367584
경로당,건능골경로당,갈마2동,36.344854,127.371592
경로당,숭덕경로당,갈마2동,36.349512,127.371365
경로당,쌍용아파트경로당,갈마2동,36.344288,127.372065
경로당,큰마을아파트경로당,갈마2동,36.344593,127.376886
경로당,명학경로당,갈마2동,36.34767,127.374221
경로당,천수경로당,갈마2동,36.347224,127.371696
경로당,갈마동푸른아파트경로당,갈마2동,36.343049,127.371239
경로당,월평경로당,월평1동,36.356779,127.360154
경로당,월평제1경로당,월평1동,36.353987,127.355308
경로당,월평제2경로당,월평1동,36.344179,127.354999
경로당,월평제3경로당,월평1동,36.356802,127.36607
경로당,월평타운경로당,월평1동,36.35209,127.359668
경로당,월평주공아파트1단지경로당,월평2동,36.363639,127.370494
경로당,월평주공아파트2단지경로당,월평2동,36.363639,127.370494
경로당,월평주공아파트3단지경로당,월평2동,36.363639,127.370494
경로당,백합아파트경로당,월평2동,36.361556,127.375425
경로당,샛별아파트경로당,월평2동,36.360321,127.375457
경로당,한아름아파트경로당,월평2동,36.363485,127.375487
경로당,무지개아파트경로당,월평2동,36.358834,127.375435
경로당,무궁화아파트경로당,월평2동,36.363759,127.37797
경로당,하나로아파트경로당,월평3동,36.360753,127.364991
경로당,황실타운아파트경로당,월평3동,36.360968,127.37163
경로당,다모아아파트경로당,월평3동,36.361997,127.366886
경로당,전원아파트경로당,월평3동,36.35913,127.364837
경로당,누리아파트경로당,월평3동,36.35883,127.371235
경로당,진달래아파트경로당,월평3동,36.359059,127.366798
경로당,가수원경로당,가수원동,36.300774,127.35314
경로당,가수원제4경로당,가수원동,36.298292,127.357425
경로당,중앙경로당,가수원동,36.303795,127.351724
경로당,계룡아파트경로당,가수원동,36.302735,127.350775
경로당,은아아파트1단지경로당,가수원동,36.301892,127.351528
경로당,은아아파트2단지경로당,가수원동,36.301892,127.351528
경로당,은아아파트3단지경로당,가수원동,36.304115,127.350864
경로당,은아아파트5단지경로당,가수원동,36.29696,127.356133
경로당,괴곡경로당,가수원동,36.284116,127.350951
경로당,백야경로당,가수원동,36.296843,127.354442
경로당,수목토아파트경로당,가수원동,36.319581,127.346125
경로당,한라비발디아파트경로당,가수원동,36.328811,127.342985
경로당,금성백조예미지아파트경로당,가수원동,36.330974,127.343056
경로당,도안아이파크아파트경로당,가수원동,36.322159,127.346148
경로당,도안베르디움아파트경로당,가수원동,36.313346,127.348048
경로당,도안리슈빌아파트경로당,가수원동,36.315566,127.346904
경로당,도안린풀하우스아파트경로당,가수원동,36.310126,127.349255
경로당,원앙마을아파트1단지경로당,관저1동,36.309477,127.336132
경로당,원앙마을아파트2단지경로당,관저1동,36.309105,127.338818
경로당,원앙마을아파트4-1단지경로당,관저1동,36.303383,127.338989
경로당,원앙마을아파트4-2단지경로당,관저1동,36.303383,127.338989
경로당,대자연마을아파트경로당,관저1동,36.306399,127.33844
경로당,구봉마을7단지경로당,관저2동,36.297366,127.328385
경로당,구봉마을8-1단지경로당,관저2동,36.297429,127.331591
경로당,구봉마을8-2단지경로당,관저2동,36.297429,127.331591
경로당,신선마을아파트경로당,관저2동,36.299778,127.332595
경로당,구봉마을아파트9단지경로당,관저2동,36.294745,127.331848
경로당,구봉마을5단지경로당,관저2동,36.29937,127.327366
경로당,느리울아파트13단지경로당,관저2동,36.296183,127.34249
경로당,느리울아파트12단지경로당,관저2동,36.297821,127.342165
경로당,느리울마을11단지경로당,관저2동,36.301039,127.343864
경로당,신선암경로당,관저2동,36.300025,127.336501
경로당,관저리슈빌경로당,관저2동,36.301336,127.342068
경로당,관저천년나무1단지경로당,관저2동,36.293199,127.343996
경로당,다온숲3단지경로당,관저2동,36.293243,127.338941
경로당,효성해링턴플레이스아파트경로당,관저2동,36.293078,127.341626
경로당,관저예미지아파트경로당,관저2동,36.293887,127.333069
경로당,어반힐스아파트경로당,관저2동,36.294752,127.342781
경로당,관저더샵아파트경로당,관저2동,36.294622,127.329277
경로당,흑석1경로당,기성동,36.254135,127.34173
경로당,흑석2경로당,기성동,36.260808,127.347372
경로당,매노1경로당,기성동,36.246396,127.342173
경로당,매노2경로당,기성동,36.23897,127.327672
경로당,매노승상경로당,기성동,36.253659,127.337161
경로당,산직1경로당,기성동,36.23542,127.342465
경로당,산직2경로당,기성동,36.243233,127.352224
경로당,장안1경로당,기성동,36.213732,127.336841
경로당,평촌1경로당,기성동,36.23908,127.318426
경로당,평촌2경로당,기성동,36.239433,127.31562
경로당,평촌3경로당,기성동,36.235837,127.306172
경로당,오동경로당,기성동,36.229744,127.317094
경로당,무궁화용사촌경로당,기성동,36.226328,127.309193
경로당,우명1경로당,기성동,36.237583,127.285876
경로당,우명2경로당,기성동,36.224226,127.294896
경로당,원정1경로당,기성동,36.258097,127.301402
경로당,원정2경로당,기성동,36.257098,127.306252
경로당,원정3경로당,기성동,36.258355,127.287056
경로당,용촌경로당,기성동,36.248048,127.323222
경로당,정방경로당,기성동,36.252963,127.317427
경로당,용촌미림경로당,기성동,36.248638,127.31298
경로당,봉곡1경로당,기성동,36.275511,127.320503
경로당,봉곡2경로당,기성동,36.255248,127.32474
어린이집,IBK참!좋은어린이집,탄방동,36.348751,127.389799
어린이집,갈마어린이집,갈마1동,36.343179,127.366749
어린이집,강낭콩어린이집,가수원동,36.303983,127.349952
어린이집,건양어린이집,관저1동,36.307488,127.343075
어린이집,경성햇살어린이집,갈마2동,36.344413,127.376988
어린이집,곰곰이어린이집,가수원동,36.320174,127.347367
어린이집,곰돌이어린이집,둔산2동,36.348573,127.381411
어린이집,관저더샵제이어린이집,관저2동,36.294622,127.329277
어린이집,관저어린이집,관저2동,36.298359,127.32537
어린이집,관저햇살어린이집,관저2동,36.300785,127.341951
어린이집,굿모닝어린이집,관저2동,36.298441,127.330369
어린이집,그린나래어린이집,가수원동,36.331069,127.342219
어린이집,깨비나라어린이집,갈마1동,36.352873,127.366247
어린이집,꼬마대장어린이집,둔산2동,36.358573,127.396619
어린이집,꼬마둥지어린이집,정림동,36.300357,127.366082
어린이집,꼬마별어린이집,가수원동,36.29696,127.356133
어린이집,꼬마예술어린이집,관저1동,36.310081,127.336182
어린이집,꼬마요정어린이집,관저2동,36.300083,127.343738
어린이집,꼬마정원어린이집,관저2동,36.297821,127.342165
어린이집,꼬마천사어린이집,갈마2동,36.344269,127.377045
어린이집,꼬마친구어린이집,월평3동,36.36061,127.365348
어린이집,꾸러기어린이집,갈마2동,36.344506,127.370604
어린이집,꿈나라어린이집,갈마1동,36.342572,127.367823
어린이집,꿈나래어린이집,갈마2동,36.344198,127.377223
어린이집,꿈동산어린이집,관저2동,36.294745,127.331848
어린이집,꿈사랑어린이집,관저2동,36.297429,127.331591
어린이집,꿈소담어린이집,월평2동,36.361072,127.376008
어린이집,꿈이있는어린이집,가수원동,36.301375,127.350953
어린이집,나래어린이집,관저2동,36.297366,127.328385
어린이집,널싱맘어린이집,가수원동,36.309401,127.350085
어린이집,네버랜드어린이집,월평3동,36.358814,127.369864
어린이집,누리어린이집,월평3동,36.35883,127.371235
어린이집,느리울어린이집,관저2동,36.297821,127.342053
어린이집,늘기쁜원앙어린이집,관저1동,36.303383,127.338989
어린이집,다모아꼬마숲어린이집,월평3동,36.361762,127.366776
어린이집,다모아어린이집,월평3동,36.361862,127.366764
어린이집,다솔어린이집,도마2동,36.321876,127.369015
어린이집,다솜어린이집,관저2동,36.293243,127.338941
어린이집,다솜예능어린이집,갈마2동,36.342119,127.377853
어린이집,다연어린이집,가수원동,36.31018,127.349232
어린이집,다온숲어린이집,관저2동,36.293243,127.338941
어린이집,다원어린이집,정림동,36.307095,127.367185
어린이집,다정어린이집,관저1동,36.309477,127.336132
어린이집,다하어린이집,월평3동,36.361862,127.366764
어린이집,다희어린이집,관저1동,36.303321,127.339246
어린이집,대교대전어린이집,둔산2동,36.354265,127.378915
어린이집,대전검찰어린이집,둔산1동,36.354874,127.388748
어린이집,대전경찰청어린이집,둔산1동,36.355058,127.385883
어린이집,대전광역시립어린이집,갈마1동,36.350568,127.364962
어린이집,대전광역시청어린이집,둔산1동,36.350383,127.384583
어린이집,대전숲어린이집,관저2동,36.284599,127.322539
어린이집,대전원광어린이집,가수원동,36.324652,127.347129
어린이집,대전청사다솜어린이집,둔산2동,36.36261,127.384063
어린이집,대전청사새롬어린이집,둔산2동,36.36261,127.384063
어린이집,대전청사아람어린이집,둔산2동,36.36261,127.384063
어린이집,대한어린이집,월평2동,36.363639,127.370494
어린이집,더샵해나어린이집,관저2동,36.29291,127.325996
어린이집,도담어린이집,관저2동,36.299785,127.332183
어린이집,도담이든어린이집,가수원동,36.328811,127.342985
어린이집,도안새싹어린이집,가수원동,36.329778,127.343478
어린이집,도안성모어린이집,가수원동,36.319702,127.346848
어린이집,도안아이파크어린이집,가수원동,36.322159,127.346148
어린이집,도안어린이집,가수원동,36.314427,127.346279
어린이집,도안예미지어린이집,가수원동,36.330974,127.343056
어린이집,도안하바어린이집,가수원동,36.329506,127.343202
어린이집,동그라미어린이집,도마1동,36.323842,127.372652
어린이집,동화나라어린이집,관저1동,36.308927,127.339232
어린이집,동화숲어린이집,월평3동,36.361516,127.371325
어린이집,둔산가람어린이집,둔산3동,36.356486,127.399087
어린이집,둔산새싹나라어린이집,둔산3동,36.354035,127.397401
어린이집,둔산어린이집,둔산3동,36.352348,127.4007
어린이집,둥근별어린이집,갈마1동,36.342672,127.368145
어린이집,둥지어린이집,둔산2동,36.358793,127.391949
어린이집,드림아이어린이집,가수원동,36.313066,127.347994
어린이집,딩동댕어린이집,둔산2동,36.348375,127.381413
어린이집,따뜻한하루어린이집,관저2동,36.293078,127.341626
어린이집,또래또래어린이집,도마1동,36.324724,127.372478
어린이집,라온어린이집,도마2동,36.318055,127.370727
어린이집,리슈빌어린이집,가수원동,36.315385,127.346739
어린이집,리조이스어린이집,관저2동,36.299787,127.330903
어린이집,리틀아이사랑어린이집,도마2동,36.32515,127.369445
어린이집,리틀은아어린이집,가수원동,36.301041,127.350767
어린이집,마루미어린이집,복수동,36.306589,127.377211
어린이집,마음어린이집,관저1동,36.308438,127.338802
어린이집,맑고행복한어린이집,관저2동,36.294885,127.329475
어린이집,맑은샘어린이집,둔산2동,36.359036,127.391958
어린이집,모모어린이집,둔산3동,36.352618,127.398749
어린이집,미소짓는어린이집,관저2동,36.294727,127.331815
어린이집,미키미니어린이집,가수원동,36.301375,127.350953
어린이집,민들레와강아지똥어린이집,관저2동,36.300822,127.343765
어린이집,반지어린이집,갈마1동,36.353162,127.371336
어린이집,밝은뜰어린이집,관저1동,36.302692,127.337926
어린이집,배꼽손어린이집,관저2동,36.298086,127.328112
어린이집,배재대학교부속어린이집,도마2동,36.320087,127.366401
어린이집,베르디움어린이집,가수원동,36.313346,127.348048
어린이집,베베하우스어린이집,둔산2동,36.358965,127.397374
어린이집,베이비좋아어린이집,관저2동,36.298374,127.342628
어린이집,별그림어린이집,둔산2동,36.347969,127.381405
어린이집,별나라어린이집,갈마1동,36.352771,127.367261
어린이집,별누리어린이집,둔산1동,36.349912,127.39126
어린이집,별님달님어린이집,정림동,36.298216,127.363505
어린이집,별사랑어린이집,관저1동,36.308584,127.339213
어린이집,보라어린이집,정림동,36.304191,127.366863
어린이집,봉산어린이집,갈마1동,36.349354,127.363735
어린이집,비젼어린이집,용문동,36.333172,127.393919
어린이집,빛나어린이집,관저2동,36.299467,127.326998
어린이집,뿌리랑새싹어린이집,관저2동,36.297516,127.331067
어린이집,사랑가득어린이집,가수원동,36.321478,127.346866
어린이집,사랑나무숲어린이집,갈마2동,36.344841,127.377798
어린이집,사랑숲어린이집,가수원동,36.31476,127.346187
어린이집,사회복지법인혜성어린이집,도마1동,36.32021,127.372637
어린이집,산토끼어린이집,갈마2동,36.344344,127.377601
어린이집,삼성어린이집,도마1동,36.321451,127.375533
어린이집,새롬어린이집,관저1동,36.309105,127.338818
어린이집,새솔어린이집,가수원동,36.299553,127.350579
어린이집,샘머리아이자람어린이집,둔산2동,36.361583,127.392975
어린이집,샘머리어린이집,둔산2동,36.361378,127.393355
어린이집,샘솟는어린이집,가수원동,36.310461,127.349575
어린이집,샘이나어린이집,관저1동,36.305343,127.338238
어린이집,샛별어린이집,둔산3동,36.35557,127.399773
어린이집,생각쑥쑥어린이집,관저2동,36.298754,127.326737
어린이집,서구그린어린이집,갈마2동,36.346524,127.370565
어린이집,서구청직장어린이집,둔산2동,36.3551,127.383655
어린이집,서원어린이집,둔산2동,36.359522,127.391776
어린이집,소엽영재어린이집,도마2동,36.315738,127.374076
어린이집,소화어린이집,월평2동,36.364393,127.375112
어린이집,수목토어린이집,가수원동,36.319691,127.346358
어린이집,수정어린이집,둔산2동,36.358901,127.397274
어린이집,숲으로어린이집,정림동,36.304916,127.364174
어린이집,슈퍼맨어린이집,관저2동,36.29755,127.330532
어린이집,스마일어린이집,갈마2동,36.344607,127.377822
어린이집,슬바아어린이집,둔산3동,36.354819,127.399233
어린이집,신난다어린이집,갈마2동,36.344334,127.372187
어린이집,신바람어린이집,정림동,36.304916,127.364174
어린이집,싱글벙글어린이집,관저2동,36.297954,127.328703
어린이집,아기뜰어린이집,관저1동,36.302997,127.339315
어린이집,아기별어린이집,관저1동,36.30872,127.339267
어린이집,아기코끼리어린이집,가수원동,36.304159,127.350752
어린이집,아띠굿맘어린이집,갈마2동,36.345829,127.377144
어린이집,아띠어린이집,가수원동,36.310436,127.349887
어린이집,아리솔어린이집,둔산3동,36.354804,127.398008
어린이집,아이굿맘어린이집,정림동,36.303089,127.364701
어린이집,아이들세상어린이집,둔산2동,36.35901,127.397463
어린이집,아이들어린이집,월평3동,36.361223,127.366937
어린이집,아이뜰동산어린이집,갈마2동,36.349259,127.371312
어린이집,아이랑어린이집,둔산2동,36.359324,127.3919
어린이집,아이러브어린이집,관저2동,36.299888,127.331303
어린이집,아이린어린이집,관저2동,36.298538,127.326816
어린이집,아이맘어린이집,관저2동,36.299122,127.326466
어린이집,아이미소어린이집,정림동,36.305655,127.364146
어린이집,아이별어린이집,둔산2동,36.3495,127.379465
어린이집,아이샘어린이집,관저2동,36.293404,127.338595
어린이집,아이세상어린이집,월평3동,36.361417,127.371247
어린이집,아이앤아이어린이집,월평3동,36.359042,127.36711
어린이집,아이월드어린이집,갈마1동,36.347359,127.366403
어린이집,아이자람어린이집,둔산2동,36.353392,127.375668
어린이집,아이짱굿맘어린이집,둔산2동,36.36136,127.393377
어린이집,아이천사어린이집,가수원동,36.329778,127.343478
어린이집,알콩달콩어린이집,관저2동,36.297954,127.330351
어린이집,애플비어린이집,정림동,36.30497,127.364085
어린이집,야웨이레어린이집,관저1동,36.302724,127.338828
어린이집,어린왕자어린이집,갈마1동,36.342667,127.368858
